Paper_ID,Artcle-URI,Article-Title,Condition-Extracted-Western,Normalized-Condition-Western,MONDO-OR-HP-Term,Exact-OR-Synonym,MONDO-OR-HP-Term-URI,Comment from TEAM-Core
484,https://doi.org/10.1111/j.1742-1241.2009.02043.x,Acupuncture for Alzheimer's disease: a systematic review,Alzheimer's disease (AD),Alzheimer's disease (AD),Alzheimer disease,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0004975,
920,https://doi.org/10.1186/1472-6882-13-55,Acupuncture for ankle sprain: systematic review and meta-analysis,Ankle sprain,Ankle sprain,ankle injury,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0043895,
494,https://doi.org/10.1136/aim.25.1-2.1,Acupuncture for anxiety and anxiety disorders -a systematic literature review,Anxiety and anxiety disorders (including generalized anxiety disorder and perioperative anxiety),Anxiety and anxiety disorders (including generalized anxiety disorder and perioperative anxiety),anxiety,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0011918,
1605,https://doi.org/10.1155/2013/169184,Acupuncture for Anxiety in Lactating Mothers with Preterm Infants: A Randomized Controlled Trial,Anxiety,Anxiety,anxiety,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0011918,
1875,https://doi.org/10.1002/14651858.CD007839.pub2,Acupuncture for Attention Deficit Hyperactivity Disorder (ADHD) in children and adolescents (Review),Attention Deficit Hyperactivity Disorder (ADHD),Attention Deficit Hyperactivity Disorder (ADHD),attention deficit-hyperactivity disorder,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0007743,
478,https://doi.org/10.1002/14651858.CD007849.pub2,Acupuncture for autism spectrum disorders (ASD),Autism Spectrum Disorders (ASD),Autism Spectrum Disorders (ASD),Autistic behavior,Synonym - HP,http://purl.obolibrary.org/obo/HP_0000729,
115,https://doi.org/10.1001/archinte.158.20.2235,Acupuncture for Back Pain A Meta-Analysis of Randomized Controlled Trials,Back pain,Back pain,Back pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0003418,done:TCM
,https://doi.org/10.1002/14651858.CD002914.pub2,Acupuncture for Bell's Palsy,Bell's palsy,Bell's palsy,Bell's palsy,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005665,
1212,https://doi.org/10.1002/14651858.CD002914.pub3,Acupuncture for Bell's palsy (Review),Bell's palsy or idiopathic facial palsy,Bell's palsy or idiopathic facial palsy,Bell's palsy,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005665,
1216,https://doi.org/10.1007/s11655-011-0861-5,Acupuncture for Bell's Palsy: A Systematic Review and Meta-analysis,Bell's palsy,Bell's palsy,Bell's palsy,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005665,
676,https://doi.org/10.1371/journal.pone.0174586,Acupuncture for benign prostatic hyperplasia: A systematic review and meta-analysis,Benign Prostatic Hyperplasia (BPH),Benign Prostatic Hyperplasia (BPH),benign prostatic hyperplasia,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0010811,
1603,https://doi.org/10.1016/j.ctim.2012.07.007,Acupuncture for cancer patients suffering from hiccups: A systematic review and meta-analysis,Hiccups,Hiccups,Recurrent singultus,Synonym - HP,http://purl.obolibrary.org/obo/HP_0100247,
635,https://doi.org/10.1007/s00520-017-3812-7,"Acupuncture for cancer-related fatigue in lung cancer patients: a randomized, double blind, placebo-controlled pilot trial",Cancer-related fatigue (CRF),Cancer-related fatigue (CRF),Fatigue,Exact - HP,http://purl.obolibrary.org/obo/HP_0012378,
566,https://doi.org/10.1007/s00520-013-1765-z,Acupuncture for cancer-related fatigue: a systematic review of randomized clinical trials,Cancer-related fatigue (CRF),Cancer-related fatigue (CRF),Fatigue,Exact - HP,http://purl.obolibrary.org/obo/HP_0012378,
1359,https://doi.org/10.1016/j.jpain.2010.08.006,Acupuncture for Carpal Tunnel Syndrome: A Systematic Review of Randomized Controlled Trials,Carpal Tunnel Syndrome (CTS),Carpal Tunnel Syndrome (CTS),carpal tunnel syndrome,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0007275,
1401,https://pubmed.ncbi.nlm.nih.gov/11802511.0/,Acupuncture for cervical ripening and induction of labor at terma randomized controlled trial,Cervical ripening and induction of labor at term,"Cervical ripening, labor induction",NOT FOUND,,,
581,https://doi.org/10.1089/acm.2008.0589,"Acupuncture for Chemotherapy-Induced Neutropenia in Patients with Gynecologic Malignancies: A Pilot Randomized, Sham-Controlled Clinical Trial",Ovarian cancer,Ovarian cancer,ovarian cancer,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0008170,
822,https://doi.org/10.1002/14651858.CD000008,Acupuncture for chronic asthma,Asthma (chronic),Asthma (chronic),asthma,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0004979,
1455,uri not found,Acupuncture for Chronic Asthma: A Controlled Trial with Six Months Follow-Up,Chronic Asthma,Chronic Asthma,chronic asthma,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0850282,
334,https://doi.org/10.1136/bmj.38029.421863.EB,"Acupuncture for chronic headache in primary care: large, pragmatic, randomised trial",Chronic headache (predominantly migraine),Chronic headache (predominantly migraine),headache disorder,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0021146,
37,https://doi.org/10.1001/jama.2014.12660,Acupuncture for Chronic Knee Pain A Randomized Clinical Trial,Chronic knee pain (typically due to osteoarthritis),Chronic knee pain (typically due to osteoarthritis),Knee pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0030839,
112,https://doi.org/10.1097/BRS.0b013e318275e601,"Acupuncture for Chronic Low Back Pain A Multicenter, Randomized, Patient-Assessor Blind, Sham-Controlled Clinical Trial",Chronic Low Back Pain (cLBP),Chronic Low Back Pain (cLBP),Low back pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0003419,
163,https://doi.org/10.1142/S0192415X13500018,Acupuncture for Chronic Low Back Pain in Long-Term Follow-Up: A Meta-Analysis of 13 Randomized Controlled Trials,Chronic low back pain,Chronic low back pain,Low back pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0003419,
143,https://doi.org/10.1093/rheumatology/keg405,"Acupuncture for chronic low back pain in older patients: a randomized, controlled trial",Chronic low back pain (LBP),Chronic low back pain (LBP),Low back pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0003419,
107,https://doi.org/10.1097/00002508-200112000-00003,Acupuncture for Chronic Low Back Pain: A Randomized Placebo-Controlled Study With Long-Term Follow-Up,Chronic low back pain,Chronic low back pain,Low back pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0003419,
532,https://doi.org/10.1186/1471-2474-7-99,Acupuncture for chronic neck pain: a pilot for a randomised controlled trial,Chronic neck pain,Chronic neck pain,Neck pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0030833,
739,https://doi.org/10.1001/jama.2013.285478,Acupuncture for Chronic Pain,Chronic pain,Chronic pain,Chronic pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0012532,
228,https://doi.org/10.7326/M15-3118,Acupuncture for Chronic Severe Functional Constipation A Randomized Trial,Chronic Severe Functional Constipation (CSFC),Constipation,NOT FOUND,,,
1469,https://doi.org/10.7326/0003-4819-84-4-381,Acupuncture for Chronic Shoulder Pain An Experimental Study with Attention to the Role of Placebo and Hypnotic Susceptibility,"Chronic shoulder pain (periarticular disease: tendonitis or bursitis, osteoarthritis)","Chronic shoulder pain (periarticular disease: tendonitis or bursitis, osteoarthritis)",Shoulder pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0030834,
869,https://doi.org/10.1016/j.apmr.2007.06.014,Acupuncture for Chronic Shoulder Pain in Persons With Spinal Cord Injury: A Small-Scale Clinical Trial,Chronic musculoskeletal shoulder pain in subjects with spinal cord injury (SCI),Chronic musculoskeletal shoulder pain in subjects with spinal cord injury (SCI),spinal cord injury,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0043797,
497,https://doi.org/10.1002/14651858.CD004046.pub3,Acupuncture for depression (Review),Depression,Depression,Depression,Exact - HP,http://purl.obolibrary.org/obo/HP_0000716,
491,https://doi.org/10.1097/AOG.0b013e3181cc0816,Acupuncture for Depression During Pregnancy A Randomized Controlled Trial,Major depressive disorder during pregnancy,Major depressive disorder during pregnancy,major depressive disorder,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0002009,
470,https://doi.org/10.1111/j.1755-5949.2010.00159.x,Acupuncture for Depression: A Critique of the Evidence Base,Depression,Depression,Depression,Exact - HP,http://purl.obolibrary.org/obo/HP_0000716,
471,https://doi.org/10.4088/jcp.v67n1101,Acupuncture for Depression: A Randomized Controlled Trial,Major Depressive Disorder (MDD),Major Depressive Disorder (MDD),major depressive disorder,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0002009,
1601,https://doi.org/10.1177/0163278710386109,Acupuncture for Depression?: A Systematic Review of Systematic Reviews,Depression,Depression,Depression,Exact - HP,http://purl.obolibrary.org/obo/HP_0000716,
1461,https://doi.org/10.1142/S0192415X06003941,"Acupuncture for Diagnostic Fiberoptic Bronchoscopy: A Prospective, Randomized, Placebo-Controlled Study",Not specified (the paper focuses on procedural anxiety and discomfort during FBS rather than a specific disease or condition),Not specified (the paper focuses on procedural anxiety and discomfort during FBS rather than a specific disease or condition),,,,
428,https://doi.org/10.1002/14651858.cd007854.pub3,Acupuncture for dysmenorrhoea,Primary dysmenorrhoea (period pain),Primary dysmenorrhea,NOT FOUND,,,
791,https://doi.org/10.1136/aim.2009.000497,"Acupuncture for dyspepsia in pregnancy: a prospective, randomised, controlled study",Dyspepsia,Dyspepsia,dyspepsia,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0002268,
1064,https://doi.org/10.1002/14651858.CD006076.pub2,Acupuncture for dysphagia in acute stroke,Dysphagia after acute stroke,Dysphagia after acute stroke,Dysphagia,Exact - HP,http://purl.obolibrary.org/obo/HP_0002015,
842,https://doi.org/10.1186/1472-684X-4-5,"Acupuncture for dyspnea in advanced cancer: a randomized, placebo-controlled pilot trial [ISRCTN89462491]",Dyspnea (shortness of breath),Dyspnea (shortness of breath),Dyspnea,Exact - HP,http://purl.obolibrary.org/obo/HP_0002094,
1381,https://doi.org/10.1002/14651858.CD005062.pub3,Acupuncture for Epilepsy (Review),Epilepsy,Epilepsy,epilepsy,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005027,
348,https://doi.org/10.1111/j.1468-2982.2000.00097.x,Acupuncture for episodic tension-type headache: a multicentre randomized controlled trial,Episodic tension-type headache (ETTH),tension-type headache,NOT FOUND,,,
281,https://doi.org/10.1155/2016/2171923,Acupuncture for Erectile Dysfunction: A Systematic Review,Erectile dysfunction (ED),Erectile dysfunction (ED),erectile dysfunction,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005362,
1170;1721,https://pubmed.ncbi.nlm.nih.gov/20232615.0/,Acupuncture for essential hypertension,Essential Hypertension,Essential Hypertension,essential hypertension,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0001134,
1720,https://doi.org/10.1155/2014/279478,Acupuncture for Essential Hypertension: A Meta-Analysis of Randomized Sham-Controlled Clinical Trials,Essential Hypertension,Essential Hypertension,essential hypertension,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0001134,
1376,https://doi.org/10.1093/rheumatology/kel406,Acupuncture for fibromyalgia-a systematic review of randomized clinical trials,Fibromyalgia,Fibromyalgia,fibromyalgia,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005546,
301,https://doi.org/10.1155/2015/920353,"Acupuncture for Frequent Migraine: A Randomized, Patient/Assessor Blinded, Controlled Trial with One-Year Follow-Up",Migraine,Migraine,migraine disorder,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0005277,
1470,https://doi.org/10.1155/2020/9790470,Acupuncture for frozen shoulder,Frozen shoulder,Frozen shoulder,frozen shoulder,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0006763,
811,https://doi.org/10.1016/j.rbmo.2010.02.024,Acupuncture for frozen-thawed embryo transfer cycles: a double-blind randomized controlled trial,Subfertility,"Subfertility, infertility",NOT FOUND,,,
241,https://doi.org/10.1002/14651858.CD008487.pub2,Acupuncture for functional dyspepsia,Functional dyspepsia (FD),Functional dyspepsia (FD),dyspepsia,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0002268,
229,https://doi.org/10.1155/2016/3862916,Acupuncture for Functional Dyspepsia: What Strength Does It Have? A Systematic Review and Meta-Analysis of Randomized Controlled Trials,Functional Dyspepsia (FD),Functional Dyspepsia (FD),dyspepsia,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0002268,
1718,https://doi.org/10.1503/cmaj.091113,Acupuncture for functional recovery after stroke: a systematic review of sham-controlled randomized clinical trials,Stroke,Stroke,stroke disorder,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0005098,
1255,https://doi.org/10.1016/s0016-5107(04)02030-9,Acupuncture for GI endoscopy: a systematic review,Not specified (the paper focuses on symptoms during GI endoscopy rather than a specific Western medical condition or disease),Not specified (the paper focuses on symptoms during GI endoscopy rather than a specific Western medical condition or disease),,,,
215,https://doi.org/10.1002/14651858.CD006030.pub4,Acupuncture for glaucoma,Glaucoma,Glaucoma,glaucoma,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005041,
46,https://doi.org/10.1093/rheumatology/ket013,Acupuncture for gouty arthritis: a concise report of a systematic and meta-analysis approach,Gouty arthritis,Gouty arthritis,Gout,Synonym - HP,http://purl.obolibrary.org/obo/HP_0001997,
1197,https://doi.org/10.1097/01.gme.0000227854.27603.7d,"Acupuncture for hot flashes: a randomized, sham-controlled clinical study",Hot flashes,Hot flashes,Hot flashes,Exact - HP,http://purl.obolibrary.org/obo/HP_0031217,
1717,https://journals.sagepub.com/doi/10.1136/aim.2011.004085,"Acupuncture for hot flushes in perimenopausal and postmenopausal women: a randomised, shamcontrolled trial",Hot flushes in perimenopausal and postmenopausal women,Hot flashes in perimenopausal and postmenopausal women,Hot flashes,Exact - HP,http://purl.obolibrary.org/obo/HP_0031217,
174,https://doi.org/10.1002/14651858.CD007968.pub2,Acupuncture for hypoxic ischemic encephalopathy in neonates,Hypoxic ischemic encephalopathy (HIE),encephalopathy,NOT FOUND,,,
315,https://doi.org/10.1002/14651858.CD001218,Acupuncture for idiopathic headache,Idiopathic headache,Idiopathic headache,Headache,Exact - HP,http://purl.obolibrary.org/obo/HP_0002315,
404,https://doi.org/10.1002/14651858.CD002962.pub3,Acupuncture for induction of labour,Not specified (the paper focuses on labor induction as a procedure rather than a specific disease or condition),Not specified (the paper focuses on labor induction as a procedure rather than a specific disease or condition),,,,
736,https://doi.org/10.3109/02813432.2013.862915,"Acupuncture for infantile colic: A blinding-validated, randomized controlled multicentre trial in general practice",Infantile colic,colic,NOT FOUND,,,
911,https://doi.org/10.1002/14651858.CD005472.pub2,Acupuncture for insomnia (Review),Insomnia,Insomnia,insomnia,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0013600,
790,https://doi.org/10.1136/aim.23.2.47,"Acupuncture for insomnia in pregnancy -a prospective, quasi-randomised, controlled study",Insomnia,Insomnia,insomnia,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0013600,
1251,https://doi.org/10.1136/aim.26.1.8,Acupuncture for irritable bowel syndrome an exploratory randomised controlled trial,Irritable Bowel Syndrome (IBS),Irritable Bowel Syndrome (IBS),irritable bowel syndrome,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005052,
230,https://doi.org/10.1136/acupmed-2015-010854,Acupuncture for irritable bowel syndrome: 2-year follow-up of a randomised controlled trial,Irritable Bowel Syndrome (IBS),Irritable Bowel Syndrome (IBS),irritable bowel syndrome,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005052,
258,https://doi.org/10.3748/wjg.v11.i26.4040,Acupuncture for irritable bowel syndrome: A blinded placebo-controlled trial,Irritable bowel syndrome (IBS),Irritable bowel syndrome (IBS),irritable bowel syndrome,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005052,
1716,https://doi.org/10.1186/1471-230X-12-150,Acupuncture for irritable bowel syndrome: primary care based pragmatic randomised controlled trial,Irritable Bowel Syndrome (IBS),Irritable Bowel Syndrome (IBS),irritable bowel syndrome,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005052,
411,https://doi.org/10.1016/j.ajog.2004.05.027,Acupuncture for labor pain management: A systematic review,Labor pain,Labor pain,NOT FOUND,,,
923,https://doi.org/10.1002/14651858.CD003527,Acupuncture for lateral elbow pain,Lateral elbow pain (Tennis elbow),Lateral elbow pain (Tennis elbow),Pain at the lateral aspect of the elbow,Synonym - HP,http://purl.obolibrary.org/obo/HP_6001173,
919,https://doi.org/10.1155/2015/861849,Acupuncture for Lateral Epicondylitis: A Systematic Review,"Lateral epicondylitis (LE), also known as tennis elbow","Lateral epicondylitis (LE), also known as tennis elbow",epicondylitis,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0001875,
786,https://doi.org/10.1136/aim.22.2.60,"Acupuncture for low back pain in pregnancy -a prospective, quasi-randomised, controlled study",Low back and pelvic pain during pregnancy,Low back pain and pelvic pain during pregnancy,"Low back pain, Pelvic pain","Exact - HP, Exact - HP","http://purl.obolibrary.org/obo/HP_0003419, http://purl.obolibrary.org/obo/HP_0034267",
140,https://doi.org/10.1155/2015/328196,Acupuncture for Low Back Pain: An Overview of Systematic Reviews,Low back pain (LBP),Low back pain (LBP),Low back pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0003419,
93,https://doi.org/10.1002/14651858.CD001351,Acupuncture for low-back pain,Non-specific low back pain,Non-specific low back pain,Low back pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0003419,
181,https://doi.org/10.1038/ajh.2008.311,Acupuncture for Lowering Blood Pressure: Systematic Review and Meta-analysis,Hypertension,Hypertension,Hypertension,Exact - HP,http://purl.obolibrary.org/obo/HP_0000822,
668,https://doi.org/10.1136/acupmed-2016-011332,Acupuncture for lumbar disc herniation: a systematic review and meta-analysis,Lumbar disc herniation (LDH),low back pain,NOT FOUND,,,
133,https://doi.org/10.1016/j.ctim.2013.08.007,Acupuncture for lumbar spinal stenosis: A systematic review and meta-analysis,Degenerative lumbar spinal stenosis (LSS),low back pain,NOT FOUND,,,
882,https://doi.org/10.1136/acupmed-2014-010633,Acupuncture for melasma in women: a systematic review of randomised controlled trials,Melasma,Melasma,Melasma,Exact - HP,http://purl.obolibrary.org/obo/HP_0025272,
1714,https://doi.org/10.1111/head.12525,Acupuncture for Migraine Prevention,Migraine,Migraine,migraine disorder,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0005277,
1713,https://doi.org/10.1002/14651858.CD001218.pub2,Acupuncture for migraine prophylaxis,Migraine,Migraine,migraine disorder,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0005277,
1868,https://doi.org/10.1503/cmaj.110551,Acupuncture for migraine prophylaxis: a randomized controlled trial,Migraines,Migraine,migraine disorder,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0005277,
307,uri not found,Acupuncture for Migraine: A Systematic Review,Migraine,Migraine,migraine disorder,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0005277,
317,https://search.informit.org/doi/10.3316/informit.423677482082972,Acupuncture for Migraine: A Systematic Review of Chinese,Migraine,Migraine,migraine disorder,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0005277,
845,https://doi.org/10.2500/ajra.2009.23.3380,"Acupuncture for nasal congestion: A prospective, randomized, double-blind, placebo-controlled clinical pilot study",Nasal congestion due to hypertrophic inferior turbinates or chronic sinusitis without polyposis,Nasal congestion due to hypertrophic inferior turbinates or chronic sinusitis without polyposis,Nasal congestion,Exact - HP,http://purl.obolibrary.org/obo/HP_0001742,
519,https://doi.org/10.1002/14651858.CD004870.pub4,Acupuncture for neck disorders,Neck pain,Neck pain,Neck pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0030833,
1341,https://doi.org/10.1097/01.brs.0000252100.61002.d4,Acupuncture for Neck Disorders,Neck pain,Neck pain,Neck pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0030833,
656,https://doi.org/10.1002/14651858.cd012057.pub2,Acupuncture for neuropathic pain in adults,"Chronic peripheral neuropathic pain, specifically diabetic peripheral neuropathy","Chronic peripheral neuropathic pain, specifically diabetic peripheral neuropathy",Neuropathic pain,Exact - HP,http://purl.obolibrary.org/obo/HP_6000040,
1012,https://doi.org/10.1002/nau.20108,Acupuncture for Nocturnal Enuresis in Children: A Systematic Review and Exploration of Rationale,Nocturnal Enuresis,Nocturnal Enuresis,nocturnal enuresis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0000022,
712,https://doi.org/10.1038/ijo.2008.269,Acupuncture for obesity: a systematic review and meta-analysis,Obesity,Obesity,obesity disorder,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0011122,
79,https://doi.org/10.1002/1529-0131,Acupuncture for Osteoarthritis of the Knee A Systematic Review,Osteoarthritis (OA) of the knee,Knee osteoarthritis,Knee osteoarthritis,Exact - HP,http://purl.obolibrary.org/obo/HP_0005086,
1003,https://doi.org/10.1097/01.AOG.0000163258.57895.ec,Acupuncture for Overactive Bladder A Randomized Controlled Trial,Overactive bladder with urge incontinence,Overactive bladder with urge incontinence,overactive bladder,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0006624,
274,https://doi.org/10.1152/ajpendo.00039.2013,Acupuncture for ovulation induction in polycystic ovary syndrome: a randomized controlled trial,Polycystic Ovary Syndrome (PCOS),Polycystic Ovary Syndrome (PCOS),polycystic ovary syndrome,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0008487,
576,https://doi.org/10.1200/JCO.2009.26.9860,Acupuncture for Pain and Dysfunction After Neck Dissection: Results of a Randomized Controlled Trial,Pain and dysfunction after neck dissection for cancer,Pain and dysfunction after neck dissection for cancer,Pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0012531,
64,https://doi.org/10.1186/1471-2474-10-130,Acupuncture for pain and osteoarthritis of the knee: a pilot study for an open parallel-arm randomised controlled trial,Osteoarthritis of the knee,Knee osteoarthritis,Knee osteoarthritis,Exact - HP,http://purl.obolibrary.org/obo/HP_0005086,
1712,https://www.cochranelibrary.com/resolve/doi?DOI=10.1002/14651858.CD007864.pub2,Acupuncture for pain in endometriosis,Endometriosis,Endometriosis,endometriosis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005133,
6,https://doi.org/10.1097/AAP.0000000000000138,Acupuncture for Pain Relief After Total Knee Arthroplasty A Randomized Controlled Trial,Degenerative osteoarthritis leading to total knee arthroplasty (TKA),"osteoarthritis, arthroplasty",NOT FOUND,,,
413,https://doi.org/10.1111/j.1471-0528.2010.02825.x,Acupuncture for pain relief during induced labour in nulliparae: a randomised controlled study,Pain during labour,Pain during labour,Pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0012531,
414,https://doi.org/10.1111/j.1471-0528.2010.02570.x,Acupuncture for pain relief in labour: a systematic review and meta-analysis,Labor pain,Labor pain,NOT FOUND,,,
85,https://doi.org/10.1002/art.24009,Acupuncture for Pain Relief in Patients With Rheumatoid Arthritis: A Systematic Review,Rheumatoid Arthritis (RA),Rheumatoid Arthritis (RA),rheumatoid arthritis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0008383,
1711,https://doi.org/10.1007/s11655-011-0665-7,Acupuncture for Pain: An Overview of Cochrane Reviews,	- Migraines - Neck disorders - Tension-type headaches - Peripheral joint osteoarthritis - Rheumatoid arthritis - Shoulder pain - Low back pain - Lateral elbow pain,"Migraine, Neck pain, Tension-type headache, osteoarthritis, Rheumatoid arthritis, Shoulder pain, Low back pain, epicondylitis",NOT FOUND,,,
570,https://doi.org/10.1016/j.jpainsymman.2010.03.010,Acupuncture for Palliative and Supportive Cancer Care: A Systematic Review of Systematic Reviews,Chemotherapy induced nausea and vomiting,Chemotherapy induced nausea and vomiting,Vomiting,Exact - HP,http://purl.obolibrary.org/obo/HP_0002013,
529,https://doi.org/10.1016/j.pain.2006.05.013,Acupuncture for patients with chronic neck pain,Chronic neck pain,Chronic neck pain,Neck pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0030833,
324,https://doi.org/10.1001/jama.293.17.2118,Acupuncture for Patients With Migraine A Randomized Controlled Trial,Migraine,Migraine,migraine disorder,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0005277,done:TCM
1050,https://doi.org/10.1097/00002060-200301000-00004,Acupuncture for Patients with Spinal Cord Injuries,Acute traumatic spinal cord injury,spinal cord injury,NOT FOUND,,,
45,https://doi.org/10.1002/14651858.CD001977.pub2,Acupuncture for peripheral joint osteoarthritis,Osteoarthritis (OA) of peripheral joints,Osteoarthritis (OA) of peripheral joints,osteoarthritis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005178,
1710,https://doi.org/10.1093/rheumatology/kel207,Acupuncture for peripheral joint osteoarthritis A systematic review and meta-analysis,Osteoarthritis (OA),Osteoarthritis (OA),osteoarthritis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005178,
827,https://doi.org/10.5694/j.1326-5377.2007.tb01275.x,"Acupuncture for persistent allergic rhinitis: a randomised, sham-controlled trial",Persistent Allergic Rhinitis (PAR),Persistent Allergic Rhinitis (PAR),allergic rhinitis,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0011786,
1857,https://doi.org/10.1002/14651858.CD007689.pub2,Acupuncture for polycystic ovarian syndrome (Review),Polycystic ovarian syndrome (PCOS),Polycystic ovary syndrome (PCOS),polycystic ovary syndrome,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0008487,
1202,https://doi.org/10.1016/j.maturitas.2006.11.001,Acupuncture for postmenopausal hot flashes,Postmenopausal hot flashes,Postmenopausal hot flashes,Hot flashes,Exact - HP,http://purl.obolibrary.org/obo/HP_0031217,
12,https://doi.org/10.1177/1054773812454136,Acupuncture for Postoperative Pain in Day Surgery Patients Undergoing Arthroscopic Shoulder Surgery,Postoperative pain following arthroscopic shoulder surgery (acromioplasty or Bankart procedure),Postoperative pain following arthroscopic shoulder surgery (acromioplasty or Bankart procedure),Pain,Exact - HP,http://purl.obolibrary.org/obo/HP_0012531,
481,https://doi.org/10.1097/nmd.0b013e31803044f8,Acupuncture for Posttraumatic Stress Disorder A Randomized Controlled Pilot Trial,Posttraumatic Stress Disorder (PTSD),Post-traumatic Stress Disorder (PTSD),post-traumatic stress disorder,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005146,
448,https://doi.org/10.1155/2013/615857,Acupuncture for Posttraumatic Stress Disorder: A Systematic Review of Randomized Controlled Trials and Prospective Clinical Trials,Posttraumatic Stress Disorder (PTSD),Post-traumatic Stress Disorder (PTSD),post-traumatic stress disorder,Exact - MONDO,http://purl.obolibrary.org/obo/MONDO_0005146,
442,https://doi.org/10.1111/j.1471-0528.2011.02994.x,Acupuncture for premenstrual syndrome: a systematic review and meta-analysis of randomised controlled trials,Premenstrual syndrome (PMS),Premenstrual syndrome (PMS),premenstrual tension,Synonym - MONDO,http://purl.obolibrary.org/obo/MONDO_0004169,
773,https://doi.org/10.1155/2014/802134,Acupuncture for Preventing Complications after Radical Hysterectomy: A Randomized Controlled Clinical Trial,"Postoperative complications after radical hysterectomy, specifically bladder dysfunction and urinary tract infections","Postoperative complications after radical hysterectomy, specifically bladder dysfunction and urinary tract infections",Recurrent urinary tract infections,Synonym - HP,http://purl.obolibrary.org/obo/HP_0000010,
